instance_id,failure_family,failure_type,summary,affordance_action_type,expected_worker_kind,worker_id,operator_unavailable_reason,best_observed_stage
15093015999__ejserver,spring_asm_class_major_61,class_version_error,class_version_error,set_maven_compiler_release,maven_compiler_operator,maven_compiler_operator,no_operator_candidate,class_version_ok
aingezzz__easy__crypto,removed_jdk_internal_api_sun_misc_base64,compile_error,compile_error,select_compile_operator,maven_compiler_operator,maven_compiler_operator,no_operator_candidate,class_version_ok
artur__a__vaadin__helper,official_eval_summary_or_tests_minus2,official_eval_failed,official_eval_failed,interpret_official_eval,official_eval_interpreter,official_eval_interpreter,no_operator_candidate,test_success
billkiller__javafx__plus,javafx_missing_dependencies,compile_error,compile_error,fix_compile_error,maven_compiler_operator,maven_compiler_operator,no_operator_candidate,patch_applies
billkiller__javafx__plus,javafx_missing_dependencies,compile_error,compile_error,select_compile_operator,maven_compiler_operator,maven_compiler_operator,no_operator_candidate,patch_applies
bjoernkw__oauth2__with__jira,spring_asm_class_major_61,class_version_error,class_version_error,set_maven_compiler_release,maven_compiler_operator,maven_compiler_operator,no_operator_candidate,class_version_ok
blueobelisk__chemicaltagger,maven_compiler_release_or_class_version,class_version_error,class_version_error,set_maven_compiler_release,maven_compiler_operator,maven_compiler_operator,no_operator_candidate,test_success
camphul__trampoline,lombok_or_javac_internal_api_java17,build_failure,build_failure,fix_compile_error,maven_compiler_operator,maven_compiler_operator,no_operator_candidate,patch_applies
camphul__trampoline,lombok_or_javac_internal_api_java17,build_failure,build_failure,fix_compile_error,maven_compiler_operator,maven_compiler_operator,no_operator_candidate,patch_applies
camunda__community__hub__camunda__bpm__junit5,missing_internal_or_snapshot_dependency,dependency_resolution_error,dependency_resolution_error,add_missing_dependency,dependency_operator,dependency_operator,no_operator_candidate,patch_applies
camunda__community__hub__camunda__bpm__junit5,missing_internal_or_snapshot_dependency,dependency_resolution_error,dependency_resolution_error,add_missing_dependency,dependency_operator,dependency_operator,no_operator_candidate,patch_applies
dickchesterwood__fleetman__webapp,official_eval_summary_or_tests_minus2,official_eval_failed,official_eval_failed,interpret_official_eval,official_eval_interpreter,official_eval_interpreter,no_operator_candidate,test_success
jaroslavtulach__heapdump,test_failure_general,test_failure,test_failure,fix_test_failure,test_preservation_checker,test_preservation_checker,no_operator_candidate,class_version_ok
jodaorg__joda__beans,maven_bundle_felix,test_failure,test_failure,fix_test_failure,test_preservation_checker,test_preservation_checker,no_operator_candidate,compile_success
jodaorg__joda__beans,maven_bundle_felix,test_failure,test_failure,guard_existing_tests,test_preservation_checker,test_preservation_checker,no_operator_candidate,compile_success
mercateo__rest__schemagen,lombok_or_javac_internal_api_java17,compile_error,compile_error,select_compile_operator,maven_compiler_operator,maven_compiler_operator,no_operator_candidate,patch_applies
mercateo__rest__schemagen,lombok_or_javac_internal_api_java17,compile_error,compile_error,select_compile_operator,maven_compiler_operator,maven_compiler_operator,no_operator_candidate,patch_applies
mtuhide__cocotemp,jdk_internal_module_export_jfr,compile_error,compile_error,fix_compile_error,maven_compiler_operator,maven_compiler_operator,no_operator_candidate,test_success
packtpublishing__master__java__unit__testing__with__spring__boot__and__mockito,spring_asm_class_major_61,class_version_error,class_version_error,set_maven_compiler_release,maven_compiler_operator,maven_compiler_operator,no_operator_candidate,class_version_ok
refactoring__bot__refactoring__bot,other,build_failure,ok,fix_patch_application,operator_selector,operator_selector,no_operator_candidate,test_success
seesharpsoft__sharping,lombok_or_javac_internal_api_java17,compile_error,compile_error,fix_compile_error,maven_compiler_operator,maven_compiler_operator,no_operator_candidate,patch_applies
