tick,any_agent_acted,acted_scout,acted_transformer,acted_tester,acted_validator,files_total,files_migrated,files_validated,files_failed,files_needs_review,total_tokens,total_ticks,tokens_per_file,success_rate,rollback_rate,human_escalation_rate,retry_resolution_rate,starvation_count,audit_completeness
0,True,True,True,True,True,23,1,1,0,0,1979,1,1979.0,0.043478,0.0,0.0,0.0,0,1.0
1,True,False,True,True,True,23,2,2,0,0,2642,2,1321.0,0.086957,0.0,0.0,0.0,0,1.0
2,True,False,True,True,True,23,3,3,0,0,4327,3,1442.333333,0.130435,0.0,0.0,0.0,0,1.0
3,True,False,True,False,False,23,4,3,0,0,29815,4,9938.333333,0.130435,0.0,0.0,0.0,0,1.0
4,True,False,True,True,True,23,4,4,0,0,31301,5,7825.25,0.173913,0.0,0.0,0.0,0,1.0
5,True,False,True,True,True,23,5,5,0,0,32517,6,6503.4,0.217391,0.0,0.0,0.0,0,1.0
6,True,False,True,True,True,23,6,6,0,0,33720,7,5620.0,0.26087,0.0,0.0,0.0,0,1.0
7,True,False,True,True,True,23,7,7,0,0,35578,8,5082.571429,0.304348,0.0,0.0,0.0,0,1.0
8,True,False,True,True,True,23,8,8,0,0,37005,9,4625.625,0.347826,0.0,0.0,0.0,0,1.0
9,True,False,True,True,True,23,9,9,0,0,38696,10,4299.555556,0.391304,0.0,0.0,0.0,0,1.0
10,True,False,True,True,True,23,10,10,0,0,40140,11,4014.0,0.434783,0.0,0.0,0.0,0,1.0
11,True,False,True,True,True,23,11,11,0,0,41703,12,3791.181818,0.478261,0.0,0.0,0.0,0,1.0
12,True,False,True,True,True,23,12,12,0,0,43642,13,3636.833333,0.521739,0.0,0.0,0.0,0,1.0
13,True,False,True,True,True,23,13,13,0,0,45059,14,3466.076923,0.565217,0.0,0.0,0.0,9,1.0
14,True,False,True,True,True,23,14,14,0,0,46530,15,3323.571429,0.608696,0.0,0.0,0.0,8,1.0
15,True,False,True,True,True,23,15,15,0,0,47919,16,3194.6,0.652174,0.0,0.0,0.0,7,1.0
16,True,False,True,True,True,23,16,16,0,0,49072,17,3067.0,0.695652,0.0,0.0,0.0,6,1.0
17,True,False,True,True,True,23,17,17,0,0,50809,18,2988.764706,0.73913,0.0,0.0,0.0,6,1.0
18,True,False,True,True,True,23,18,18,0,0,52082,19,2893.444444,0.782609,0.0,0.0,0.0,5,1.0
19,True,False,True,True,True,23,19,19,0,0,53272,20,2803.789474,0.826087,0.0,0.0,0.0,4,1.0
20,True,False,True,True,True,23,20,20,0,0,54721,21,2736.05,0.869565,0.0,0.0,0.0,3,1.0
21,True,False,True,True,True,23,21,21,0,0,56124,22,2672.571429,0.913043,0.0,0.0,0.0,2,1.0
22,True,False,True,True,True,23,22,22,0,0,75368,23,3425.818182,0.956522,0.0,0.0,0.0,1,1.0
23,True,False,True,False,False,23,23,22,0,0,100867,24,4584.863636,0.956522,0.0,0.0,0.0,0,1.0
24,True,False,True,False,False,23,23,22,0,0,126366,25,5743.909091,0.956522,0.0,0.0,0.0,0,1.0
25,True,False,True,False,False,23,23,22,0,0,151866,26,6602.869565,0.956522,0.0,0.0,0.0,0,1.0
