tick,any_agent_acted,acted_scout,acted_transformer,acted_tester,acted_validator,files_total,files_migrated,files_validated,files_failed,files_needs_review,total_tokens,total_ticks,tokens_per_file,success_rate,rollback_rate,human_escalation_rate,retry_resolution_rate,starvation_count,audit_completeness
0,True,True,True,True,True,23,1,1,0,0,971,1,971.0,0.043478,0.0,0.0,0.0,0,1.0
1,True,False,True,True,True,23,2,2,0,0,1634,2,817.0,0.086957,0.0,0.0,0.0,0,1.0
2,True,False,True,True,True,23,3,3,0,0,3319,3,1106.333333,0.130435,0.0,0.0,0.0,0,1.0
3,True,False,True,True,True,23,4,3,0,0,14312,4,4770.666667,0.130435,0.0,0.0,0.0,0,1.0
4,True,False,True,True,True,23,4,4,0,0,15803,5,3950.75,0.173913,0.0,0.0,0.0,0,1.0
5,True,False,True,True,True,23,5,5,0,0,17019,6,3403.8,0.217391,0.0,0.0,0.0,0,1.0
6,True,False,True,True,True,23,6,6,0,0,18222,7,3037.0,0.26087,0.0,0.0,0.0,0,1.0
7,True,False,True,True,True,23,7,7,0,0,20080,8,2868.571429,0.304348,0.0,0.0,0.0,0,1.0
8,True,False,True,True,True,23,8,8,0,0,21506,9,2688.25,0.347826,0.0,0.0,0.0,0,1.0
9,True,False,True,True,True,23,9,9,0,0,23197,10,2577.444444,0.391304,0.0,0.0,0.0,0,1.0
10,True,False,True,True,True,23,10,10,0,0,24642,11,2464.2,0.434783,0.0,0.0,0.0,0,1.0
11,True,False,True,True,True,23,11,11,0,0,26204,12,2382.181818,0.478261,0.0,0.0,0.0,0,1.0
12,True,False,True,True,True,23,12,12,0,0,28143,13,2345.25,0.521739,0.0,0.0,0.0,0,1.0
13,True,False,True,True,True,23,13,13,0,0,29559,14,2273.769231,0.565217,0.0,0.0,0.0,9,1.0
14,True,False,True,True,True,23,14,14,0,0,31031,15,2216.5,0.608696,0.0,0.0,0.0,8,1.0
15,True,False,True,True,True,23,15,15,0,0,32420,16,2161.333333,0.652174,0.0,0.0,0.0,7,1.0
16,True,False,True,True,True,23,16,16,0,0,33572,17,2098.25,0.695652,0.0,0.0,0.0,6,1.0
17,True,False,True,True,True,23,17,17,0,0,35309,18,2077.0,0.73913,0.0,0.0,0.0,6,1.0
18,True,False,True,True,True,23,18,18,0,0,36582,19,2032.333333,0.782609,0.0,0.0,0.0,5,1.0
19,True,False,True,True,True,23,19,19,0,0,37771,20,1987.947368,0.826087,0.0,0.0,0.0,4,1.0
20,True,False,True,True,True,23,20,19,0,0,39220,21,2064.210526,0.826087,0.0,0.0,0.0,3,1.0
21,True,False,True,True,True,23,20,20,0,0,40627,22,2031.35,0.869565,0.0,0.0,0.0,2,1.0
22,True,False,True,True,True,23,21,20,0,0,51572,23,2578.6,0.869565,0.0,0.0,0.0,1,1.0
23,True,False,True,True,True,23,21,20,0,0,61438,24,3071.9,0.869565,0.0,0.0,0.0,0,1.0
24,True,False,True,True,True,23,21,20,0,0,62919,25,3145.95,0.869565,0.0,0.0,0.0,0,1.0
25,True,False,True,True,True,23,21,20,0,0,73917,26,3695.85,0.869565,0.0,0.0,0.0,0,1.0
26,True,False,True,True,True,23,21,20,0,0,83789,27,4189.45,0.869565,0.0,0.0,0.0,0,1.0
27,True,False,True,True,True,23,21,20,0,0,85270,28,4263.5,0.869565,0.0,0.0,0.0,0,1.0
28,True,False,True,True,True,23,21,20,0,0,96267,29,4813.35,0.869565,0.0,0.0,0.0,0,1.0
29,True,False,True,True,True,23,21,20,0,0,106139,30,5054.238095,0.869565,0.0,0.0,0.0,0,1.0
30,True,False,True,True,True,23,22,20,0,0,107620,31,4891.818182,0.869565,0.0,0.0,0.0,0,1.0
31,True,False,True,True,True,23,23,20,0,0,118618,32,5157.304348,0.869565,0.0,0.0,0.0,0,1.0
