tick,any_agent_acted,acted_scout,acted_transformer,acted_tester,acted_validator,files_total,files_migrated,files_validated,files_failed,files_needs_review,total_tokens,total_cost_usd,total_ticks,tokens_per_file,cost_per_file_usd,success_rate,rollback_rate,human_escalation_rate,retry_resolution_rate,starvation_count,audit_completeness
0,True,True,True,True,True,23,1,1,0,0,14135,0.005278,1,14135.0,0.005278,0.043478,0.0,0.0,0.0,0,1.0
1,True,False,True,True,True,23,2,2,0,0,15991,0.005807,2,7995.5,0.002903,0.086957,0.0,0.0,0.0,0,1.0
2,True,False,True,True,True,23,3,3,0,0,22791,0.008122,3,7597.0,0.002707,0.130435,0.0,0.0,0.0,0,1.0
3,True,False,True,True,True,23,4,3,0,0,38407,0.012495,4,12802.333333,0.004165,0.130435,0.0,0.0,0.0,0,1.0
4,True,False,True,True,True,23,4,4,0,0,41943,0.013448,5,10485.75,0.003362,0.173913,0.0,0.0,0.0,0,1.0
5,True,False,True,True,True,23,5,5,0,0,45022,0.014319,6,9004.4,0.002864,0.217391,0.0,0.0,0.0,0,1.0
6,True,False,True,True,True,23,6,6,0,0,49599,0.015775,7,8266.5,0.002629,0.26087,0.0,0.0,0.0,0,1.0
7,True,False,True,True,True,23,7,7,0,0,54633,0.017294,8,7804.714286,0.002471,0.304348,0.0,0.0,0.0,0,1.0
8,True,False,True,True,True,23,8,8,0,0,60914,0.019391,9,7614.25,0.002424,0.347826,0.0,0.0,0.0,0,1.0
9,True,False,True,True,True,23,9,9,0,0,64114,0.020208,10,7123.777778,0.002245,0.391304,0.0,0.0,0.0,0,1.0
10,True,False,True,True,True,23,10,10,0,0,69153,0.021806,11,6915.3,0.002181,0.434783,0.0,0.0,0.0,0,1.0
11,True,False,True,True,True,23,11,11,0,0,73171,0.022975,12,6651.909091,0.002089,0.478261,0.0,0.0,0.0,0,1.0
12,True,False,True,True,True,23,12,12,0,0,78255,0.024502,13,6521.25,0.002042,0.521739,0.0,0.0,0.0,0,1.0
13,True,False,True,True,True,23,13,13,0,0,82493,0.025784,14,6345.615385,0.001983,0.565217,0.0,0.0,0.0,9,1.0
14,True,False,True,True,True,23,14,14,0,0,86051,0.026784,15,6146.5,0.001913,0.608696,0.0,0.0,0.0,8,1.0
15,True,False,True,True,True,23,15,15,0,0,88398,0.027314,16,5893.2,0.001821,0.652174,0.0,0.0,0.0,7,1.0
16,True,False,True,True,True,23,16,16,0,0,91621,0.028236,17,5726.3125,0.001765,0.695652,0.0,0.0,0.0,6,1.0
17,True,False,True,True,True,23,17,17,0,0,95997,0.029515,18,5646.882353,0.001736,0.73913,0.0,0.0,0.0,6,1.0
18,True,False,True,True,True,23,18,18,0,0,99340,0.030463,19,5518.888889,0.001692,0.782609,0.0,0.0,0.0,5,1.0
19,True,False,True,True,True,23,19,19,0,0,102809,0.031478,20,5411.0,0.001657,0.826087,0.0,0.0,0.0,4,1.0
20,True,False,True,True,True,23,20,20,0,0,107020,0.032743,21,5351.0,0.001637,0.869565,0.0,0.0,0.0,3,1.0
21,True,False,True,True,True,23,21,21,0,0,110421,0.033694,22,5258.142857,0.001604,0.913043,0.0,0.0,0.0,2,1.0
22,True,False,True,True,True,23,22,22,0,0,125440,0.037294,23,5701.818182,0.001695,0.956522,0.0,0.0,0.0,1,1.0
23,True,False,True,True,True,23,23,22,0,0,138850,0.040957,24,6311.363636,0.001862,0.956522,0.0,0.0,0.0,0,1.0
24,True,False,True,True,True,23,23,22,0,0,153269,0.044811,25,6966.772727,0.002037,0.956522,0.0,0.0,0.0,0,1.0
25,True,False,True,True,True,23,23,22,0,0,166034,0.048003,26,7218.869565,0.002087,0.956522,0.0,0.0,0.0,0,1.0
