tick,any_agent_acted,acted_scout,acted_transformer,acted_tester,acted_validator,files_total,files_migrated,files_validated,files_failed,files_needs_review,total_tokens,total_cost_usd,total_ticks,tokens_per_file,cost_per_file_usd,success_rate,rollback_rate,human_escalation_rate,retry_resolution_rate,starvation_count,audit_completeness
0,True,False,True,True,True,23,1,1,0,0,995,0.000351,1,995.0,0.000351,0.043478,0.0,0.0,0.0,0,1.0
1,True,False,True,True,True,23,2,2,0,0,1207,0.000407,2,603.5,0.000203,0.086957,0.0,0.0,0.0,0,1.0
2,True,False,True,True,True,23,3,3,0,0,2345,0.000521,3,781.666667,0.000174,0.130435,0.0,0.0,0.0,0,1.0
3,True,False,True,True,True,23,4,4,0,0,11863,0.004313,4,2965.75,0.001078,0.173913,0.0,0.0,0.0,0,1.0
4,True,False,True,True,True,23,5,5,0,0,12273,0.004506,5,2454.6,0.000901,0.217391,0.0,0.0,0.0,0,1.0
5,True,False,True,True,True,23,6,6,0,0,12705,0.004549,6,2117.5,0.000758,0.26087,0.0,0.0,0.0,0,1.0
6,True,False,True,True,True,23,7,7,0,0,13012,0.004628,7,1858.857143,0.000661,0.304348,0.0,0.0,0.0,0,1.0
7,True,False,True,True,True,23,8,8,0,0,13988,0.005001,8,1748.5,0.000625,0.347826,0.0,0.0,0.0,0,1.0
8,True,False,True,True,True,23,9,9,0,0,14518,0.005054,9,1613.111111,0.000562,0.391304,0.0,0.0,0.0,0,1.0
9,True,False,True,True,True,23,10,10,0,0,15312,0.005307,10,1531.2,0.000531,0.434783,0.0,0.0,0.0,0,1.0
10,True,False,True,True,True,23,11,11,0,0,15860,0.005362,11,1441.818182,0.000487,0.478261,0.0,0.0,0.0,0,1.0
11,True,False,True,True,True,23,12,12,0,0,16526,0.00557,12,1377.166667,0.000464,0.521739,0.0,0.0,0.0,0,1.0
12,True,False,True,True,True,23,13,13,0,0,17568,0.005968,13,1351.384615,0.000459,0.565217,0.0,0.0,0.0,0,1.0
13,True,False,True,True,True,23,14,14,0,0,18088,0.006156,14,1292.0,0.00044,0.608696,0.0,0.0,0.0,9,1.0
14,True,False,True,True,True,23,15,15,0,0,18664,0.006214,15,1244.266667,0.000414,0.652174,0.0,0.0,0.0,8,1.0
15,True,False,True,True,True,23,16,16,0,0,19157,0.006361,16,1197.3125,0.000398,0.695652,0.0,0.0,0.0,7,1.0
16,True,False,True,True,True,23,17,17,0,0,19414,0.006387,17,1142.0,0.000376,0.73913,0.0,0.0,0.0,6,1.0
17,True,False,True,True,True,23,18,18,0,0,20254,0.006652,18,1125.222222,0.00037,0.782609,0.0,0.0,0.0,5,1.0
18,True,False,True,True,True,23,19,19,0,0,20630,0.006756,19,1085.789474,0.000356,0.826087,0.0,0.0,0.0,4,1.0
19,True,False,True,True,True,23,20,20,0,0,20924,0.006831,20,1046.2,0.000342,0.869565,0.0,0.0,0.0,3,1.0
20,True,False,True,True,True,23,21,21,0,0,21477,0.007103,21,1022.714286,0.000338,0.913043,0.0,0.0,0.0,2,1.0
21,True,False,True,True,True,23,22,22,0,0,21984,0.007153,22,999.272727,0.000325,0.956522,0.0,0.0,0.0,1,1.0
22,True,False,True,True,True,23,23,23,0,0,32955,0.01023,23,1432.826087,0.000445,1.0,0.0,0.0,0.0,0,1.0
