model,framework,query_idx,final_pass,delivered,artifact_delivered,official_delivered,tokens,cost_usd,runtime_seconds,failure_reason
deepseek,stigmergiagentic_c3,0,True,False,True,False,11140,0.00253824,0.0,ok
deepseek,stigmergiagentic_c3,1,True,False,True,False,10355,0.00237404,0.0,ok
deepseek,stigmergiagentic_c3,2,True,False,True,False,10907,0.0025001,0.0,ok
deepseek,stigmergiagentic_c3,3,True,False,True,False,8590,0.0020486000000000002,0.0,ok
deepseek,stigmergiagentic_c3,4,True,False,True,False,11194,0.0025827000000000003,0.0,ok
deepseek,stigmergiagentic_c3,5,True,False,True,False,10386,0.00246458,0.0,ok
deepseek,stigmergiagentic_c3,6,True,False,True,False,10582,0.00242384,0.0,ok
deepseek,stigmergiagentic_c3,7,True,False,True,False,9740,0.00235298,0.0,ok
deepseek,stigmergiagentic_c3,8,True,False,True,False,9080,0.00207658,0.0,ok
deepseek,stigmergiagentic_c3,9,True,False,True,False,11091,0.00253248,0.0,ok
deepseek,stigmergiagentic_c3,10,True,False,True,False,10917,0.00243902,0.0,ok
deepseek,stigmergiagentic_c3,11,True,False,True,False,8596,0.0020552,0.0,ok
deepseek,stigmergiagentic_c3,12,True,False,True,False,9420,0.00220752,0.0,ok
deepseek,stigmergiagentic_c3,13,True,False,True,False,10486,0.00240456,0.0,ok
deepseek,stigmergiagentic_c3,14,True,False,True,False,11863,0.0026707600000000003,0.0,ok
deepseek,stigmergiagentic_c3,15,True,False,True,False,9785,0.0023311,0.0,ok
deepseek,stigmergiagentic_c3,16,True,False,True,False,23287,0.005363000000000001,0.0,ok
deepseek,stigmergiagentic_c3,17,False,True,True,True,33724,0.00660526,0.0,ok
deepseek,stigmergiagentic_c3,18,True,False,True,False,12252,0.0027104800000000004,0.0,ok
deepseek,stigmergiagentic_c3,19,False,True,True,True,35230,0.00678218,0.0,ok
deepseek,stigmergiagentic_c3,20,True,False,True,False,16856,0.003948999999999999,0.0,ok
deepseek,stigmergiagentic_c3,21,False,True,True,True,44100,0.009245360000000001,0.0,ok
deepseek,stigmergiagentic_c3,22,True,False,True,False,16338,0.00384374,0.0,ok
deepseek,stigmergiagentic_c3,23,True,False,True,False,15298,0.00364044,0.0,ok
deepseek,stigmergiagentic_c3,24,False,True,True,True,44297,0.00940728,0.0,ok
deepseek,stigmergiagentic_c3,25,False,True,True,True,48625,0.01008376,0.0,ok
deepseek,stigmergiagentic_c3,26,True,False,True,False,14752,0.0035575,0.0,ok
deepseek,stigmergiagentic_c3,27,True,False,True,False,14630,0.0035568,0.0,ok
deepseek,stigmergiagentic_c3,28,True,False,True,False,13774,0.00346888,0.0,ok
deepseek,stigmergiagentic_c3,29,True,False,True,False,13102,0.00334266,0.0,ok
deepseek,stigmergiagentic_c3,30,False,True,True,True,44779,0.00959884,0.0,ok
deepseek,stigmergiagentic_c3,31,False,True,True,True,45338,0.011014,0.0,ok
deepseek,stigmergiagentic_c3,32,True,False,True,False,16308,0.00388212,0.0,ok
deepseek,stigmergiagentic_c3,33,False,True,True,True,44622,0.00940124,0.0,ok
deepseek,stigmergiagentic_c3,34,True,False,True,False,30848,0.00744188,0.0,ok
deepseek,stigmergiagentic_c3,35,False,True,True,True,49572,0.010020939999999999,0.0,ok
deepseek,stigmergiagentic_c3,36,True,False,True,False,16710,0.0039036400000000003,0.0,ok
deepseek,stigmergiagentic_c3,37,False,True,True,True,43483,0.00917204,0.0,ok
deepseek,stigmergiagentic_c3,38,True,False,True,False,16379,0.0038423600000000004,0.0,ok
deepseek,stigmergiagentic_c3,39,True,False,True,False,15528,0.0036869000000000003,0.0,ok
deepseek,stigmergiagentic_c3,40,False,True,True,True,58328,0.01436696,0.0,ok
deepseek,stigmergiagentic_c3,41,True,False,True,False,63514,0.01519638,0.0,ok
deepseek,stigmergiagentic_c3,42,True,False,True,False,40873,0.0098819,0.0,ok
deepseek,stigmergiagentic_c3,43,False,True,True,True,57119,0.012339180000000002,0.0,ok
deepseek,stigmergiagentic_c3,44,True,False,True,False,38134,0.009417459999999999,0.0,ok
deepseek,stigmergiagentic_c3,45,True,False,True,False,20307,0.004934620000000001,0.0,ok
deepseek,stigmergiagentic_c3,46,True,False,True,False,21673,0.00517046,0.0,ok
